Latitude,Longitude,Name,Petrol,Diesel
-15.75227559,35.00230613,Namiwawa Filling Station,Available,Available
-15.7645011,35.01741233,Cross Roads Blantyre Puma Filling Station,Not Available,Available
-15.77457833,35.03732505,Energem Filling Station,Available,Available
-15.78482024,35.03011527,Mt Meru Filling Station,Not Available,Not Available
-15.80232942,35.06393256,Tsilanana Filling Station,Not Available,Available
-15.7977045,35.02857032,Total Energies Polytechnic,Available,Available
-15.80414632,35.03063026,Chitawira Puma Filling Station,Available,Not Available
-15.80166872,35.01140418,Mount Pleasant Filling Station,Available,Available
-15.78672831,35.00846872,Filling Station,Available,Available
-15.79105551,35.01093474,Filling Station,Available,Available
